trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.8, 'e': 0.6491026283684022}",20,0,29.715486933683852,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.6426116020847181}",20,0,32.2764957198783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.6361854860638709}",20,0,-25.86487032963096,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.6298236312032323}",25,12,22.36647717292642,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.6235253948912}",25,0,28.832089114397363,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.617290140942288}",20,0,29.36364491196744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.611117239532865}",20,11,15.288507226012424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.6050060671375364}",30,0,35.41817533384286,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.598956006466161}",25,0,3.616338770558373,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.5929664464014994}",25,0,21.054255184867802,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.8, 'e': 0.5870367819374844}",30,0,40.50987735117235,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.8, 'e': 0.5811664141181095}",30,24,12.284603107211709,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.5753547499769285}",20,0,31.242367935449188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.5696012024771592}",20,0,7.592009784640592,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.5639051904523875}",20,0,18.856859455905806,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.8, 'e': 0.5582661385478637}",20,0,-2.7149510644514088,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.5526834771623851}",30,9,33.76787045602109,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.5471566423907612}",20,0,-12.939997187994962,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.5416850759668536}",25,6,31.39323074550826,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.536268225207185}",25,0,27.76749005342621,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.5309055429551132}",20,2,13.79946847080495,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.525596487525562}",25,0,13.073714305824282,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
65,False,"{'a': 0.8, 'e': 0.5203405226503064}",20,2,29.508128438171696,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.5151371174238033}",25,10,28.90062712592323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.5099857462495653}",35,3,26.48083070683241,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.5048858887870696}",25,11,21.932993068995295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.4998370298991989}",20,0,30.799676883405823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.49483865960020695}",20,0,-23.376459205219977,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.4898902730042049}",30,2,36.39242799713081,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.48499137027416284}",25,4,17.017948297773984,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.4801414565714212}",35,21,25.47933705114207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.47534004200570695}",20,12,11.575402268720438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.4705866415856499}",20,16,7.882499805590754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.46588077516979337}",25,16,18.41560695548497,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.46122196741809546}",20,0,25.64007204059207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.4566097477439145}",25,9,26.429752017822196,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.45204365026647536}",25,6,1.0572172811027598,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.4475232137638106}",20,0,-35.544807122273134,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
81,False,"{'a': 0.8, 'e': 0.4430479816261725}",20,12,2.7609311678618527,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.43861750180991077}",20,10,12.681713682037723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.43423132679181164}",25,7,12.793233942415867,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.4298890135238935}",20,8,21.76791811890365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.4255901233886546}",30,18,18.04658197014564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.421334222154768}",25,0,36.245505226534014,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.8, 'e': 0.41712087993322033}",20,1,-25.645102990272548,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.8, 'e': 0.41294967113388814}",20,0,27.361703248059154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.8, 'e': 0.40882017442254925}",20,1,27.9236035879998,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.4047319726783238}",20,4,-16.35978133076194,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.8, 'e': 0.40068465295154054}",20,8,13.130305183605923,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.3966778064220251}",30,12,18.691059863176868,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.39271102835780486}",20,0,26.793993141135203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.8, 'e': 0.3887839180742268}",20,0,18.247425059931533,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.8, 'e': 0.38489607889348454}",20,2,13.064243485096224,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.38104711810454966}",20,15,10.65001211088151,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.37723664692350417}",20,11,17.470360445497214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.37346428045426916}",20,11,13.809488660987174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.36972963764972644}",30,3,28.771724420919625,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.3660323412732292}",30,14,19.356066215953934,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.3623720178604969}",30,0,31.54711675963252,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.3587482976818919}",20,9,19.50804613007737,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.8, 'e': 0.355160814705073}",30,14,22.500589255798545,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.35160920655802225}",20,10,17.666420494507218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.348093114492442}",25,8,11.331709114390424,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.3446121833475176}",30,8,0.998891834787349,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.34116606151404244}",20,3,27.13126418267718,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.337754400898902}",25,0,-4.451360793750367,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.8, 'e': 0.334376856889913}",20,15,9.401770945567055,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.33103308832101386}",20,15,9.813577814251826,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.8, 'e': 0.3277227574378037}",20,15,10.537857987733446,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.3244455298634257}",35,5,25.437760207711932,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.3212010745647914}",20,6,22.6369315029853,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.3179890638191435}",30,12,31.825065897816398,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
